id,supplier_id,invoice_id,prod_id,product_name,quantity,discount,total_amount,account_id,account_name,account_address,user_id,user_name,employee_name,city,region,area,area_id,creation_date,created_at,branch_code,Global_Account_ID
48652728,59,32259,7,سيبروسين مرهم س ج,10,15.0,178.5,637,صيدليه مها مديريه امن الجيزه ش,كوبري الجلاء ميدان فيني الدقي,6,نهى الدالى,نهى الدالى,الجيزة,القاهرة الكبرى,الجيزة,17.0,2025-05-25 13:43:10,2026-05-19 16:29:03,003,GLB_0001
48652935,59,32281,7,سيبروسين مرهم س ج,3,15.0,53.55,4365,صيدليه السعدني فيصل,شارع مصرف جلال خلف فندق قاعود بجوار مسجد,6,نهى الدالى,نهى الدالى,الجيزة,القاهرة الكبرى,فيصل,99.0,2025-05-25 14:35:04,2026-05-19 16:29:03,002,GLB_0002
48653089,59,32301,7,سيبروسين مرهم س ج,2,21.0,33.18,3297,صيدليه مني احمد امبابه,شارع جمال عبد الناصر امام مدرسه تبارك الخاصه,137,اسماء رجب,اسماء رجب,الجيزة,القاهرة الكبرى,إمبابة,9.0,2025-05-25 15:21:21,2026-05-19 16:29:03,004,GLB_0003
48653301,59,32334,7,سيبروسين مرهم س ج,5,20.0,84.0,5734,صيدليه الشفاء بشتيل,شارع الحريه بجوار المدرسه,137,اسماء رجب,اسماء رجب,الجيزة,القاهرة الكبرى,بشتيل,69.0,2025-05-25 20:49:54,2026-05-19 16:29:03,004,GLB_0004
49140754,59,100804,7,سيبروسين مرهم س ج,10,17.0,174.3,637,صيدليه مها مديريه امن الجيزه ش,كوبري الجلاء ميدان فيني الدقي,6,نهى الدالى,نهى الدالى,الجيزة,القاهرة الكبرى,الجيزة,17.0,2026-04-12 13:51:32,2026-05-19 16:47:49,003,GLB_0001
49169399,59,104864,7,سيبروسين مرهم س ج,1,15.0,17.85,6718,صيدليه ايمن محمد ارض اللواء,ناصيه بيومي يمين محور 26 يونيو ارض اللواء,76,غاده,غاده,الجيزة,القاهرة الكبرى,أرض اللواء,5.0,2026-05-11 11:18:32,2026-05-19 16:48:46,009,GLB_0005
49170517,59,105016,7,سيبروسين مرهم س ج,2,18.0,34.44,3438,صيدليه الحرمين الوراق,77شارع ترعه السواحل وراق الحضر امام برج عتابي,168,ياسمين خالد,ياسمين خالد,الجيزة,القاهرة الكبرى,الوراق,64.0,2026-05-12 13:47:08,2026-05-19 16:48:48,004,GLB_0006
49176269,59,105771,7,سيبروسين مرهم س ج,1,18.0,17.22,7833,صيدليه تقي مصطفي فيصل,شارع محمود علي المنشيه فيصل اسامه محمد,136,صباح وحيد,صباح وحيد,الجيزة,القاهرة الكبرى,المنشية,56.0,2026-05-17 00:12:02,2026-05-19 16:48:57,001,GLB_0007
49482505,59,106514,7,سيبروسين مرهم س ج,2,18.0,34.44,3708,صيدليه النخبه فيصل,12 شارع وصفي ع ناصيه قهوه السكريه التعاون فيصل,6,نهى الدالى,نهى الدالى,الجيزة,القاهرة الكبرى,فيصل,99.0,2026-05-23 12:21:04,2026-05-23 13:21:05,070,GLB_0008
48540334,59,16956,8,سيبروسين نقط س ج,3,26.0,46.62,5433,صيدليه محمود العزباوي الجلاتمه,الجلاتمه,167,انور محمد م,انور محمد,الجيزة,القاهرة الكبرى,الجلاتمة,16.0,2025-03-30 11:33:49,2026-05-19 16:25:29,007,GLB_0009
48553870,59,18610,8,سيبروسين نقط س ج,1,25.0,15.75,7302,صيدليه فاطمه الزهراء الوراق,شارع التل,137,اسماء رجب,اسماء رجب,الجيزة,القاهرة الكبرى,الوراق,64.0,2025-04-06 01:01:37,2026-05-19 16:25:51,004,GLB_0010
48568025,59,20551,8,سيبروسين نقط س ج,2,24.0,31.92,4495,صيدليه عبد الله محمد الجديده الوراق,شارع زكي العمده متفرع من ترعه السواحل,81,عائشة,عائشة,الجيزة,القاهرة الكبرى,الوراق,64.0,2025-04-13 11:21:58,2026-05-19 16:26:22,004,GLB_0011
48570665,59,20925,8,سيبروسين نقط س ج,5,25.0,78.75,5961,صيدليه حنان موسي غطاطي,كفر غطاطي فيصل,167,انور محمد م,انور محمد م,الجيزة,القاهرة الكبرى,غطاطي,95.0,2025-04-14 15:02:17,2026-05-19 16:26:27,002,GLB_0012
48580094,59,22189,8,سيبروسين نقط س ج,1,25.0,15.75,2393,صيدليه السقا بشتيل س,شارع المزارع بعد صيدليه نشوي بشتيل,76,غاده,غاده,الجيزة,القاهرة الكبرى,بشتيل,69.0,2025-04-19 10:35:03,2026-05-19 16:26:42,004,GLB_0013
48585855,59,22986,8,سيبروسين نقط س ج,3,22.0,49.14,6814,صيدليه نور الهدي الهرم,شارع العدل متفرع من ترسا الهرم,159,اى سبلاى,اى سبلاى,الجيزة,القاهرة الكبرى,الهرم,63.0,2025-04-22 10:24:44,2026-05-19 16:26:52,070,GLB_0014
48587240,59,23221,8,سيبروسين نقط س ج,3,25.0,47.25,146,صيدليه مجدي الجديده فيصل س,14ش عبد الرازق امام كليه التربيه الرياضيه فيصل,6,نهى الدالى,نهى الدالى,الجيزة,القاهرة الكبرى,فيصل,99.0,2025-04-22 02:26:29,2026-05-19 16:26:53,001,GLB_0015
48589203,59,23506,8,سيبروسين نقط س ج,5,26.0,77.7,332,صيدليه التعاون المهندسين,5 عمارات البترول خلف نادي التوفقيه الصحفيين المهندسين,6,نهى الدالى,نهى الدالى,الجيزة,القاهرة الكبرى,المهندسين,62.0,2025-04-23 01:14:49,2026-05-19 16:26:57,003,GLB_0016
48599826,59,24926,8,سيبروسين نقط س ج,1,25.0,15.75,6797,صيدليه المروه ش الهرم,360 شارع الهرم عماره بيتزا كينج,159,اى سبلاى,اى سبلاى,الجيزة,القاهرة الكبرى,الهرم,63.0,2025-04-29 09:22:13,2026-05-19 16:27:17,070,GLB_0017
48600295,59,25007,8,سيبروسين نقط س ج,5,24.0,79.8,5583,صيدليه طولون السيده زينب,شارع الصليبه ميدان طولون السيده زينب,167,انور محمد م,انور محمد م,القاهرة,القاهرة الكبرى,السيدة زينب,29.0,2025-04-29 12:45:26,2026-05-19 16:27:17,006,GLB_0018
48626500,59,28674,8,سيبروسين نقط س ج,1,24.0,15.96,5579,صيدليه ايمان عبدالله دار السلام,شارع محمد عوض من نور عطاالله دار السلام 32,168,شرين غلا,ياسمين خالد,القاهرة,القاهرة الكبرى,دار السلام,84.0,2025-05-12 09:45:46,2026-05-19 16:28:09,006,GLB_0019
48747113,59,45711,8,سيبروسين نقط س ج,4,25.0,63.0,4040,صيدليه امنيه شعبان حدائق,425ط البوابه الثانيه القديمه تقاطع مدخل خير زمان,81,عائشة,عائشة,القاهرة,القاهرة الكبرى,الحدائق,19.0,2025-07-17 09:40:49,2026-05-19 16:32:21,002,GLB_0020
48779460,59,50493,8,سيبروسين نقط س ج,3,25.0,47.25,3137,صيدليه احمد سلطان بشتيل,1ش نجيب محفوظ متفرع من شارع المسابك بشتيل,137,اسماء رجب,اسماء رجب,الجيزة,القاهرة الكبرى,بشتيل,69.0,2025-08-03 00:05:44,2026-05-19 16:33:29,004,GLB_0021
48794105,59,52641,8,سيبروسين نقط س ج,1,26.0,15.54,6778,صيدليه محمد سعيد طنطاوي الكونيسه,2 شارع عمر عثمان خلف مصنع الشوربجي الكونيسه,167,انور محمد م,انور محمد م,الجيزة,القاهرة الكبرى,الكنيسة,46.0,2025-08-12 14:44:46,2026-05-19 16:34:01,070,GLB_0022
48911101,59,69397,8,سيبروسين نقط س ج,2,29.0,29.82,7695,صيدليه مصطفي احمد,شارع ابوبكر الصديق رقم 18 من شارع اللبيني امام مطعم الشيخ,168,ياسمين خالد,ياسمين خالد,الجيزة,القاهرة الكبرى,اللبيني,48.0,2025-10-23 12:36:40,2026-05-19 16:38:44,002,GLB_0023
